iter	Passed	Remaining
1324	39459	198788
1325	39488	198752
1326	39520	198735
1327	39551	198710
1328	39581	198684
1329	39609	198645
1330	39642	198629
1331	39672	198602
1332	39704	198582
1333	39735	198560
1334	39768	198546
1335	39798	198515
1336	39826	198477
1337	39858	198459
1338	39890	198438
1339	39922	198418
1340	39951	198384
1341	39978	198342
1342	40011	198330
1343	40043	198308
1344	40073	198282
1345	40102	198248
1346	40134	198228
1347	40165	198205
1348	40197	198188
1349	40227	198157
1350	40259	198138
1351	40289	198108
1352	40319	198080
1353	40349	198054
1354	40382	198036
1355	40411	198004
1356	40441	197975
1357	40469	197939
1358	40500	197913
1359	40529	197877
1360	40558	197846
1361	40589	197822
1362	40622	197805
1363	40655	197791
1364	40688	197776
1365	40721	197762
1366	40753	197746
1367	40782	197713
1368	40814	197691
1369	40845	197668
1370	40873	197629
1371	40902	197597
1372	40931	197561
1373	40962	197538
1374	40991	197502
1375	41019	197465
1376	41049	197439
1377	41080	197412
1378	41110	197385
1379	41139	197352
1380	41169	197321
1381	41199	197291
1382	41230	197266
1383	41257	197224
1384	41288	197199
1385	41317	197168
1386	41349	197149
1387	41380	197125
1388	41414	197113
1389	41445	197090
1390	41474	197054
1391	41507	197039
1392	41536	197005
1393	41566	196980
1394	41597	196955
1395	41630	196939
1396	41664	196928
1397	41692	196893
1398	41724	196871
1399	41756	196853
1400	41789	196835
1401	41820	196813
1402	41850	196784
1403	41882	196762
1404	41913	196737
1405	41943	196712
1406	41973	196681
1407	42006	196666
1408	42041	196661
1409	42072	196637
1410	42101	196603
1411	42130	196570
1412	42159	196534
1413	42190	196513
1414	42221	196486
1415	42250	196451
1416	42281	196428
1417	42312	196402
1418	42343	196381
1419	42372	196347
1420	42402	196314
1421	42431	196283
1422	42460	196249
1423	42492	196230
1424	42521	196197
1425	42553	196174
1426	42581	196138
1427	42613	196116
1428	42642	196083
1429	42672	196055
1430	42704	196034
1431	42736	196016
1432	42769	195999
1433	42802	195982
1434	42831	195951
1435	42860	195915
1436	42889	195884
1437	42919	195855
1438	42952	195838
1439	42982	195807
1440	43014	195788
1441	43044	195759
1442	43074	195732
1443	43105	195707
1444	43133	195670
1445	43166	195652
1446	43195	195619
1447	43225	195591
1448	43256	195563
1449	43289	195549
1450	43318	195514
1451	43348	195486
1452	43378	195458
1453	43411	195442
1454	43444	195423
1455	43473	195394
1456	43504	195365
1457	43533	195334
1458	43563	195305
1459	43595	195283
1460	43624	195251
1461	43655	195225
1462	43686	195200
1463	43719	195183
1464	43749	195155
1465	43780	195130
1466	43811	195105
1467	43842	195082
1468	43873	195056
1469	43902	195024
1470	43933	194997
1471	43961	194960
1472	43990	194927
1473	44020	194896
1474	44049	194861
1475	44079	194831
1476	44108	194799
1477	44135	194758
1478	44166	194734
1479	44200	194720
1480	44230	194689
1481	44258	194652
1482	44288	194626
1483	44321	194609
1484	44351	194578
1485	44380	194544
1486	44411	194520
1487	44439	194484
1488	44472	194468
1489	44501	194431
1490	44535	194422
1491	44568	194405
1492	44599	194380
1493	44631	194359
1494	44661	194329
1495	44691	194300
1496	44721	194270
1497	44752	194244
1498	44781	194211
1499	44812	194186
1500	44842	194158
1501	44872	194128
1502	44902	194100
1503	44934	194078
1504	44965	194054
1505	44992	194011
1506	45024	193992
1507	45055	193965
1508	45086	193941
1509	45118	193918
1510	45147	193887
1511	45177	193858
1512	45208	193831
1513	45239	193804
1514	45271	193785
1515	45302	193761
1516	45331	193728
1517	45363	193704
1518	45395	193686
1519	45425	193656
1520	45454	193620
1521	45486	193599
1522	45517	193574
1523	45548	193552
1524	45577	193518
1525	45607	193488
1526	45640	193473
1527	45669	193439
1528	45701	193417
1529	45730	193383
1530	45759	193350
1531	45788	193313
1532	45820	193294
1533	45850	193267
1534	45880	193237
1535	45911	193210
1536	45942	193186
1537	45970	193149
1538	46003	193131
1539	46035	193109
1540	46065	193078
1541	46093	193041
1542	46126	193024
1543	46155	192994
1544	46187	192970
1545	46215	192931
1546	46245	192904
1547	46279	192891
1548	46313	192877
1549	46345	192855
1550	46376	192831
1551	46405	192798
1552	46436	192774
1553	46465	192739
1554	46497	192717
1555	46527	192687
1556	46555	192652
1557	46586	192624
1558	46617	192598
1559	46647	192569
1560	46677	192541
1561	46708	192516
1562	46739	192491
1563	46771	192470
1564	46802	192444
1565	46832	192412
1566	46861	192381
1567	46891	192352
1568	46921	192319
1569	46954	192304
1570	46985	192277
1571	47016	192253
1572	47045	192219
1573	47076	192194
1574	47106	192163
1575	47134	192127
1576	47164	192098
1577	47192	192060
1578	47222	192029
1579	47251	191998
1580	47282	191970
1581	47313	191947
1582	47342	191912
1583	47373	191886
1584	47403	191858
1585	47433	191828
1586	47463	191799
1587	47492	191765
1588	47523	191737
1589	47553	191709
1590	47584	191684
1591	47615	191657
1592	47644	191624
1593	47674	191595
1594	47708	191583
1595	47739	191554
1596	47770	191531
1597	47801	191505
1598	47834	191486
1599	47863	191453
1600	47894	191427
1601	47925	191403
1602	47958	191383
1603	47988	191356
1604	48018	191325
1605	48048	191297
1606	48080	191273
1607	48110	191244
1608	48141	191218
1609	48174	191200
1610	48205	191174
1611	48236	191151
1612	48268	191128
1613	48298	191098
1614	48328	191070
1615	48359	191042
1616	48391	191021
1617	48424	191002
1618	48451	190963
1619	48482	190936
1620	48510	190900
1621	48542	190878
1622	48571	190845
1623	48602	190818
1624	48634	190795
1625	48662	190761
1626	48692	190729
1627	48722	190698
1628	48754	190676
1629	48785	190654
1630	48816	190625
1631	48845	190591
1632	48876	190567
1633	48905	190532
1634	48934	190499
1635	48967	190480
1636	48996	190448
1637	49029	190430
1638	49057	190395
1639	49086	190358
1640	49117	190333
1641	49148	190307
1642	49178	190280
1643	49211	190261
1644	49240	190226
1645	49269	190192
1646	49299	190165
1647	49329	190135
1648	49361	190113
1649	49390	190078
1650	49420	190048
1651	49450	190020
1652	49481	189994
1653	49510	189959
1654	49542	189939
1655	49574	189915
1656	49605	189891
1657	49637	189866
1658	49668	189842
1659	49701	189822
1660	49731	189795
1661	49760	189759
1662	49790	189731
